sites,species,abundance
X20,Agrsto,5
X20,Brarut,4
X20,Calcus,3
X20,Elepal,4
X20,Junart,4
X20,Leoaut,2
X20,Ranfla,4
X20,Salrep,5
X19,Airpra,3
X19,Antodo,4
X19,Brarut,3
X19,Empnig,2
X19,Hyprad,5
X19,Leoaut,6
X19,Sagpro,3
X19,Salrep,3
X19,Trirep,2
X18,Belper,2
X18,Brarut,6
X18,Leoaut,5
X18,Lolper,2
X18,Plalan,3
X18,Poapra,3
X18,Salrep,3
X18,Trirep,2
X18,Viclat,1
X17,Achmil,2
X17,Airpra,2
X17,Antodo,4
X17,Hyprad,2
X17,Leoaut,2
X17,Plalan,2
X17,Poapra,1
X16,Agrsto,7
X16,Alogen,4
X16,Brarut,4
X16,Calcus,3
X16,Elepal,8
X16,Junart,3
X16,Poatri,2
X16,Ranfla,2
X15,Agrsto,4
X15,Brarut,4
X15,Elepal,5
X15,Junart,3
X15,Leoaut,2
X15,Potpal,2
X15,Ranfla,2
X15,Trirep,1
X14,Agrsto,4
X14,Calcus,4
X14,Elepal,4
X14,Leoaut,2
X14,Potpal,2
X14,Ranfla,2
X14,Trirep,6
X13,Agrsto,5
X13,Alogen,5
X13,Chealb,1
X13,Junbuf,3
X13,Leoaut,2
X13,Poapra,2
X13,Poatri,9
X13,Ranfla,2
X13,Sagpro,2
X13,Trirep,2
X12,Agrsto,4
X12,Alogen,8
X12,Brarut,4
X12,Junbuf,4
X12,Leoaut,2
X12,Poatri,4
X12,Rumace,2
X12,Sagpro,4
X12,Trirep,3
X11,Brarut,4
X11,Hyprad,2
X11,Leoaut,5
X11,Lolper,7
X11,Plalan,3
X11,Poapra,4
X11,Sagpro,2
X11,Trirep,3
X11,Viclat,2
X10,Achmil,4
X10,Antodo,4
X10,Belper,2
X10,Brarut,2
X10,Brohor,4
X10,Leoaut,3
X10,Lolper,6
X10,Plalan,3
X10,Poapra,4
X10,Poatri,4
X10,Trirep,6
X10,Viclat,1
X09,Agrsto,3
X09,Alogen,3
X09,Brarut,2
X09,Elyrep,6
X09,Junart,4
X09,Junbuf,4
X09,Leoaut,2
X09,Lolper,2
X09,Poapra,4
X09,Poatri,5
X09,Rumace,2
X09,Sagpro,2
X09,Trirep,3
X08,Agrsto,4
X08,Alogen,5
X08,Brarut,2
X08,Elepal,4
X08,Junart,4
X08,Leoaut,3
X08,Lolper,4
X08,Poapra,4
X08,Poatri,4
X08,Ranfla,2
X08,Sagpro,2
X08,Trirep,2
X07,Achmil,2
X07,Antodo,2
X07,Brarut,2
X07,Brohor,2
X07,Junbuf,2
X07,Leoaut,3
X07,Lolper,6
X07,Plalan,5
X07,Poapra,4
X07,Poatri,5
X07,Rumace,3
X07,Tripra,2
X07,Trirep,2
X06,Achmil,2
X06,Antodo,3
X06,Brarut,6
X06,Leoaut,3
X06,Lolper,6
X06,Plalan,5
X06,Poapra,3
X06,Poatri,4
X06,Rumace,6
X06,Tripra,5
X06,Trirep,5
X05,Achmil,2
X05,Antodo,4
X05,Belper,2
X05,Brarut,2
X05,Brohor,2
X05,Elyrep,4
X05,Leoaut,3
X05,Lolper,2
X05,Plalan,5
X05,Poapra,2
X05,Poatri,6
X05,Rumace,5
X05,Tripra,2
X05,Trirep,2
X04,Agrsto,8
X04,Alogen,2
X04,Belper,2
X04,Brarut,2
X04,Brohor,3
X04,Cirarv,2
X04,Elyrep,4
X04,Leoaut,2
X04,Lolper,5
X04,Poapra,4
X04,Poatri,5
X04,Sagpro,5
X04,Trirep,1
X03,Agrsto,4
X03,Alogen,7
X03,Belper,2
X03,Brarut,2
X03,Elyrep,4
X03,Leoaut,2
X03,Lolper,6
X03,Poapra,5
X03,Poatri,6
X03,Trirep,2
X02,Achmil,3
X02,Alogen,2
X02,Belper,3
X02,Brohor,4
X02,Elyrep,4
X02,Leoaut,5
X02,Lolper,5
X02,Poapra,4
X02,Poatri,7
X02,Trirep,5
X01,Achmil,1
X01,Elyrep,4
X01,Lolper,7
X01,Poapra,4
X01,Poatri,2
